date,open,high,low,close,Volume USDT,fng_value
2021-10-21 04:00:00,65069.03000000,65192.04000000,64612.00000000,65042.99000000,101955601.28689820,84
2021-10-21 05:00:00,65042.99000000,65162.00000000,64800.41000000,64825.71000000,86157334.17586910,84
2021-10-21 06:00:00,64825.72000000,65024.45000000,64142.01000000,64679.39000000,150500155.59574840,84
2021-10-21 07:00:00,64677.45000000,65272.86000000,64425.19000000,65100.70000000,121772754.20132100,84
2021-10-21 08:00:00,65100.70000000,66124.17000000,65064.35000000,65882.09000000,204586626.33563190,84
2021-10-21 09:00:00,65882.09000000,66639.74000000,65865.53000000,66185.89000000,189505750.10565710,84
2021-10-21 10:00:00,66185.89000000,66236.91000000,65555.00000000,65590.99000000,170310665.12327860,84
2021-10-21 11:00:00,65590.98000000,65975.35000000,64175.00000000,64827.90000000,369302270.06670190,84
2021-10-21 12:00:00,64836.51000000,65220.00000000,64366.72000000,65060.14000000,190411165.42006540,84
2021-10-21 13:00:00,65060.15000000,65599.98000000,64681.26000000,64752.24000000,146031488.80430420,84
2021-10-21 14:00:00,64752.25000000,64900.00000000,62888.00000000,63648.66000000,425817170.10182110,84
2021-10-21 15:00:00,63648.65000000,63888.00000000,62000.00000000,62971.20000000,369802580.36106420,84
2021-10-21 16:00:00,62971.20000000,63645.10000000,62188.00000000,62800.52000000,217423476.12005920,84
2021-10-21 17:00:00,62798.49000000,63342.37000000,62412.76000000,62487.00000000,133282791.41547190,84
2021-10-21 18:00:00,62486.99000000,63200.00000000,62486.99000000,62737.67000000,125642741.28006200,84
2021-10-21 19:00:00,62737.67000000,63500.00000000,62569.02000000,62802.07000000,146601655.39442940,84
2021-10-21 20:00:00,62801.57000000,63186.94000000,62350.00000000,62665.11000000,141064259.86402080,84
2021-10-21 21:00:00,62665.11000000,63024.79000000,62222.22000000,62747.97000000,79920481.54556950,84
2021-10-21 22:00:00,62740.76000000,63109.00000000,62387.51000000,62437.56000000,98622599.69488330,84
2021-10-21 23:00:00,62442.49000000,62707.68000000,62000.00000000,62193.15000000,123173273.88319010,84
2021-10-22 00:00:00,62193.15000000,62900.00000000,62000.00000000,62789.22000000,278450427.46888610,75
2021-10-22 01:00:00,62789.22000000,63062.21000000,62560.00000000,62566.89000000,101388333.54812740,75
2021-10-22 02:00:00,62566.88000000,63013.68000000,62520.00000000,62840.00000000,76868474.08996170,75
2021-10-22 03:00:00,62839.99000000,63351.02000000,62823.55000000,63237.90000000,87450601.44371070,75
